,Year,Date,Time,HomeTeam,AwayTeam,HomeScore,AwayScore,HomeScorers,AwayScorers,ExtraTime,Penalty,HomePenaltyScore,AwayPenaltyScore,Stadium,Location,Attendance,Referee
829,2014,4 July 2014,17:00 BRT (UTC−3),Brazil,Colombia,2,1,"
Thiago Silva  7'
David Luiz  69'","
Rodríguez  80' (pen.)",0,0,0,0,Estádio Castelão, Fortaleza,"60,342",Carlos Velasco Carballo (Spain)
830,2014,5 July 2014,13:00 BRT (UTC−3),Argentina,Belgium,1,0,"
Higuaín  8'",,0,0,0,0,Estádio Nacional Mané Garrincha, Brasília,"68,551",Nicola Rizzoli (Italy)
831,2014,5 July 2014,17:00 BRT (UTC−3),Netherlands,Costa Rica,0,0,,,1,1,4,3,Itaipava Arena Fonte Nova, Salvador,"51,179",Ravshan Irmatov (Uzbekistan)
832,2014,8 July 2014,17:00 BRT (UTC−3),Brazil,Germany,1,7,"
Oscar  90'","
Müller  11'
Klose  23'
Kroos  24', 26'
Khedira  29'
Schürrle  69', 79'",0,0,0,0,Estádio Mineirão, Belo Horizonte,"58,141",Marco Antonio Rodríguez (Mexico)
833,2014,9 July 2014,17:00 BRT (UTC−3),Netherlands,Argentina,0,0,,,1,1,2,4,Arena Corinthians, São Paulo,"63,267",Cüneyt Çakır (Turkey)
834,2014,12 July 2014,17:00 BRT (UTC−3),Brazil,Netherlands,0,3,,"
Van Persie  3' (pen.)
Blind  17'
Wijnaldum  90+1'",0,0,0,0,Estádio Nacional Mané Garrincha, Brasília,"68,034",Djamel Haimoudi (Algeria)
835,2014,13 July 2014,16:00 BRT (UTC−3),Germany,Argentina,1,0,Götze  113',,1,0,0,0,Maracanã Stadium, Rio de Janeiro,"74,738",Nicola Rizzoli (Italy)
836,2018,14 June 2018 (2018-06-14),18:00 MSK (UTC+3),Russia,Saudi Arabia,5,0,"
Gazinsky  12'
Cheryshev  43', 90+1'
Dzyuba  71'
Golovin  90+4'",,0,0,0,0,Luzhniki Stadium, Moscow,"78,011[143]",Néstor Pitana (Argentina)
837,2018,15 June 2018 (2018-06-15),17:00 YEKT (UTC+5),Egypt,Uruguay,0,1,,"
Giménez  89'",0,0,0,0,Central Stadium, Yekaterinburg,"27,015[144]",Björn Kuipers (Netherlands)
838,2018,19 June 2018 (2018-06-19),21:00 MSK (UTC+3),Russia,Egypt,3,1,"
Fathy  47' (o.g.)
Cheryshev  59'
Dzyuba  62'","
Salah  73' (pen.)",0,0,0,0,Krestovsky Stadium, Saint Petersburg,"64,468[145]",Enrique Cáceres (Paraguay)
839,2018,20 June 2018 (2018-06-20),18:00 MSK (UTC+3),Uruguay,Saudi Arabia,1,0,"
Suárez  23'",,0,0,0,0,Rostov Arena, Rostov-on-Don,"42,678[146]",Clément Turpin (France)
840,2018,25 June 2018 (2018-06-25),18:00 SAMT (UTC+4),Uruguay,Russia,3,0,"
Suárez  10'
Cheryshev  23' (o.g.)
Cavani  90'",,0,0,0,0,Cosmos Arena, Samara,"41,970[147]",Malang Diedhiou (Senegal)
